genename	protein_desc	Accession_Number	Molecular_Weight	SKMES1.AF1521.MG132.DMSO_SpC	SKMES1.AF1521.MG132.RBN011364_SpC	label	uniprotswissprot	entrez.id	spc.trt_ctrl.delta	spc.ctrl_fraction_delta	molweight	ctrl.binding	trt.binding	trt.fc.binding	trt.fc	gene.symbol.xref
EIF1	Eukaryotic translation initiation factor 1 OS=Homo sapiens GN=EIF1 PE=1 SV=1	sp|P41567|EIF1_HUMAN	13 kDa	3	7	skmes_mg132_af1521.adpr.msbio	P41567	10209	4	0.571428571428571	13	3.07692307692308	7.07692307692308	2.3	2.32890365448505	EIF1
EIF1AX	Eukaryotic translation initiation factor 1A, X-chromosomal OS=Homo sapiens GN=EIF1AX PE=1 SV=2	sp|P47813|IF1AX_HUMAN	16 kDa	25	35	skmes_mg132_af1521.adpr.msbio	P47813	1964	10	0.285714285714286	16	25.0625	35.0625	1.39900249376559	1.39984006397441	EIF1AX
EIF2S1	Eukaryotic translation initiation factor 2 subunit 1 OS=Homo sapiens GN=EIF2S1 PE=1 SV=3	sp|P05198|IF2A_HUMAN	36 kDa	3	0	skmes_mg132_af1521.adpr.msbio	P05198	1965	-3	-1	36	3.02777777777778	0.0277777777777778	0.00917431192660551	0.00332225913621263	EIF2S1
EIF3B	Eukaryotic translation initiation factor 3 subunit B OS=Homo sapiens GN=EIF3B PE=1 SV=3	sp|P55884|EIF3B_HUMAN	92 kDa	23	6	skmes_mg132_af1521.adpr.msbio	P55884	8662	-17	-0.739130434782609	92	23.0108695652174	6.01086956521739	0.261218705715635	0.261190786614515	EIF3B
EIF3I	Eukaryotic translation initiation factor 3 subunit I OS=Homo sapiens GN=EIF3I PE=1 SV=1	sp|Q13347|EIF3I_HUMAN	37 kDa	4	0	skmes_mg132_af1521.adpr.msbio	Q13347	8668	-4	-1	37	4.02702702702703	0.027027027027027	0.00671140939597315	0.00249376558603491	EIF3I
EIF3L	Eukaryotic translation initiation factor 3 subunit L OS=Homo sapiens GN=EIF3L PE=1 SV=1	sp|Q9Y262|EIF3L_HUMAN	67 kDa	5	0	skmes_mg132_af1521.adpr.msbio	Q9Y262	51386	-5	-1	67	5.01492537313433	0.0149253731343284	0.00297619047619048	0.00199600798403194	EIF3L
EIF3M	Eukaryotic translation initiation factor 3 subunit M OS=Homo sapiens GN=EIF3M PE=1 SV=1	sp|Q7L2H7|EIF3M_HUMAN	43 kDa	3	0	skmes_mg132_af1521.adpr.msbio	Q7L2H7	10480	-3	-1	43	3.02325581395349	0.0232558139534884	0.00769230769230769	0.00332225913621263	EIF3M
EIF4A3	Eukaryotic initiation factor 4A-III OS=Homo sapiens GN=EIF4A3 PE=1 SV=4	sp|P38919|IF4A3_HUMAN	47 kDa	11	13	skmes_mg132_af1521.adpr.msbio	P38919	9775	2	0.153846153846154	47	11.0212765957447	13.0212765957447	1.18146718146718	1.18165304268847	EIF4A3
EIF4G1	Eukaryotic translation initiation factor 4 gamma 1 OS=Homo sapiens GN=EIF4G1 PE=1 SV=4	sp|Q04637|IF4G1_HUMAN	175 kDa	16	0	skmes_mg132_af1521.adpr.msbio	Q04637	1981	-16	-1	175	16.0057142857143	0.00571428571428571	0.000357015351660121	0.000624609618988132	EIF4G1
EIF4G2	Eukaryotic translation initiation factor 4 gamma 2 OS=Homo sapiens GN=EIF4G2 PE=1 SV=1	sp|P78344|IF4G2_HUMAN	102 kDa	5	0	skmes_mg132_af1521.adpr.msbio	P78344	1982	-5	-1	102	5.00980392156863	0.00980392156862745	0.00195694716242661	0.00199600798403194	EIF4G2
EIF5	Eukaryotic translation initiation factor 5 OS=Homo sapiens GN=EIF5 PE=1 SV=2	sp|P55010|IF5_HUMAN	49 kDa	8	2	skmes_mg132_af1521.adpr.msbio	P55010	1983	-6	-0.75	49	8.02040816326531	2.02040816326531	0.251908396946565	0.250936329588015	EIF5
EIF5A	Eukaryotic translation initiation factor 5A-1 OS=Homo sapiens GN=EIF5A PE=1 SV=2	sp|P63241|IF5A1_HUMAN	17 kDa	7	10	skmes_mg132_af1521.adpr.msbio	P63241	1984	3	0.3	17	7.05882352941176	10.0588235294118	1.425	1.42796005706134	EIF5A
EIF5B	Eukaryotic translation initiation factor 5B OS=Homo sapiens GN=EIF5B PE=1 SV=4	sp|O60841|IF2P_HUMAN	139 kDa	34	12	skmes_mg132_af1521.adpr.msbio	O60841	9669	-22	-0.647058823529412	139	34.0071942446043	12.0071942446043	0.353078062195896	0.353131431931785	EIF5B
EIF6	Eukaryotic translation initiation factor 6 OS=Homo sapiens GN=EIF6 PE=1 SV=1	sp|P56537|IF6_HUMAN	27 kDa	4	2	skmes_mg132_af1521.adpr.msbio	P56537	3692	-2	-0.5	27	4.03703703703704	2.03703703703704	0.504587155963303	0.501246882793017	EIF6
ELAVL1	ELAV-like protein 1 OS=Homo sapiens GN=ELAVL1 PE=1 SV=2	sp|Q15717|ELAV1_HUMAN	36 kDa	3	0	skmes_mg132_af1521.adpr.msbio	Q15717	1994	-3	-1	36	3.02777777777778	0.0277777777777778	0.00917431192660551	0.00332225913621263	ELAVL1
ELOB	Elongin-B OS=Homo sapiens GN=ELOB PE=1 SV=1	sp|Q15370|ELOB_HUMAN	13 kDa	3	3	skmes_mg132_af1521.adpr.msbio	Q15370	6923	0	0	13	3.07692307692308	3.07692307692308	1	1	ELOB
ELP1	Elongator complex protein 1 OS=Homo sapiens GN=ELP1 PE=1 SV=3	sp|O95163|ELP1_HUMAN	150 kDa	5	0	skmes_mg132_af1521.adpr.msbio	O95163	8518	-5	-1	150	5.00666666666667	0.00666666666666667	0.00133155792276964	0.00199600798403194	ELP1
EMD	Emerin OS=Homo sapiens GN=EMD PE=1 SV=1	sp|P50402|EMD_HUMAN	29 kDa	5	2	skmes_mg132_af1521.adpr.msbio	P50402	2010	-3	-0.6	29	5.03448275862069	2.03448275862069	0.404109589041096	0.401197604790419	EMD
ENO1	Alpha-enolase OS=Homo sapiens GN=ENO1 PE=1 SV=2	sp|P06733|ENOA_HUMAN	47 kDa	26	0	skmes_mg132_af1521.adpr.msbio	P06733	2023	-26	-1	47	26.0212765957447	0.0212765957446809	0.000817661488143908	0.000384467512495194	ENO1
ENY2	Transcription and mRNA export factor ENY2 OS=Homo sapiens GN=ENY2 PE=1 SV=1	sp|Q9NPA8|ENY2_HUMAN	12 kDa	6	14	skmes_mg132_af1521.adpr.msbio	Q9NPA8	56943	8	0.571428571428571	12	6.08333333333333	14.0833333333333	2.31506849315069	2.33111480865225	ENY2
EP300	Histone acetyltransferase p300 OS=Homo sapiens GN=EP300 PE=1 SV=2	sp|Q09472|EP300_HUMAN	264 kDa	9	0	skmes_mg132_af1521.adpr.msbio	Q09472	2033	-9	-1	264	9.00378787878788	0.00378787878787879	0.000420698359276399	0.00110987791342952	EP300
EPHB2	Ephrin type-B receptor 2 OS=Homo sapiens GN=EPHB2 PE=1 SV=5	sp|P29323|EPHB2_HUMAN	117 kDa	6	2	skmes_mg132_af1521.adpr.msbio	P29323	2048	-4	-0.666666666666667	117	6.00854700854701	2.00854700854701	0.334281650071124	0.334442595673877	EPHB2
EPRS	Bifunctional glutamate/proline--tRNA ligase OS=Homo sapiens GN=EPRS PE=1 SV=5	sp|P07814|SYEP_HUMAN	171 kDa	45	17	skmes_mg132_af1521.adpr.msbio	P07814	2058	-28	-0.622222222222222	171	45.0058479532164	17.0058479532164	0.377858627858628	0.37791601866252	EPRS1
EPS8	Epidermal growth factor receptor kinase substrate 8 OS=Homo sapiens GN=EPS8 PE=1 SV=1	sp|Q12929|EPS8_HUMAN	92 kDa	2	0	skmes_mg132_af1521.adpr.msbio	Q12929	2059	-2	-1	92	2.01086956521739	0.0108695652173913	0.00540540540540541	0.00497512437810945	EPS8
ERH	Enhancer of rudimentary homolog OS=Homo sapiens GN=ERH PE=1 SV=1	sp|P84090|ERH_HUMAN	12 kDa	14	28	skmes_mg132_af1521.adpr.msbio	P84090	2079	14	0.5	12	14.0833333333333	28.0833333333333	1.99408284023669	1.99928622412562	ERH
ESYT1	Extended synaptotagmin-1 OS=Homo sapiens GN=ESYT1 PE=1 SV=1	sp|Q9BSJ8|ESYT1_HUMAN	123 kDa	7	0	skmes_mg132_af1521.adpr.msbio	Q9BSJ8	23344	-7	-1	123	7.00813008130081	0.00813008130081301	0.00116009280742459	0.0014265335235378	ESYT1
ETFA	Electron transfer flavoprotein subunit alpha, mitochondrial OS=Homo sapiens GN=ETFA PE=1 SV=1	sp|P13804|ETFA_HUMAN	35 kDa	2	0	skmes_mg132_af1521.adpr.msbio	P13804	2108	-2	-1	35	2.02857142857143	0.0285714285714286	0.0140845070422535	0.00497512437810945	ETFA
EXOC1	Exocyst complex component 1 OS=Homo sapiens GN=EXOC1 PE=1 SV=4	sp|Q9NV70|EXOC1_HUMAN	102 kDa	12	14	skmes_mg132_af1521.adpr.msbio	Q9NV70	55763	2	0.142857142857143	102	12.0098039215686	14.0098039215686	1.1665306122449	1.16652789342215	EXOC1
EXOC3	Exocyst complex component 3 OS=Homo sapiens GN=EXOC3 PE=1 SV=2	sp|O60645|EXOC3_HUMAN	87 kDa	0	2	skmes_mg132_af1521.adpr.msbio	O60645	11336	2	1	87	0.0114942528735632	2.01149425287356	175	201	EXOC3
EXOC4	Exocyst complex component 4 OS=Homo sapiens GN=EXOC4 PE=1 SV=1	sp|Q96A65|EXOC4_HUMAN	111 kDa	0	2	skmes_mg132_af1521.adpr.msbio	Q96A65	60412	2	1	111	0.00900900900900901	2.00900900900901	223	201	EXOC4
EXOC7	Exocyst complex component 7 OS=Homo sapiens GN=EXOC7 PE=1 SV=3	sp|Q9UPT5|EXOC7_HUMAN	83 kDa	0	2	skmes_mg132_af1521.adpr.msbio	Q9UPT5	23265	2	1	83	0.0120481927710843	2.01204819277108	167	201	EXOC7
EZR	Ezrin OS=Homo sapiens GN=EZR PE=1 SV=4	sp|P15311|EZRI_HUMAN	69 kDa	102	141	skmes_mg132_af1521.adpr.msbio	P15311	7430	39	0.276595744680851	69	102.014492753623	141.014492753623	1.38229862196335	1.3823154592687	EZR
FAM129A	Protein Niban OS=Homo sapiens GN=FAM129A PE=1 SV=1	sp|Q9BZQ8|NIBAN_HUMAN	103 kDa	6	0	skmes_mg132_af1521.adpr.msbio	Q9BZQ8	116496	-6	-1	103	6.00970873786408	0.00970873786407767	0.00161550888529887	0.00166389351081531	NIBAN1
FAM32A	Protein FAM32A OS=Homo sapiens GN=FAM32A PE=1 SV=2	sp|Q9Y421|FA32A_HUMAN	13 kDa	19	24	skmes_mg132_af1521.adpr.msbio	Q9Y421	26017	5	0.208333333333333	13	19.0769230769231	24.0769230769231	1.26209677419355	1.26301946344029	FAM32A
FASN	Fatty acid synthase OS=Homo sapiens GN=FASN PE=1 SV=3	sp|P49327|FAS_HUMAN	273 kDa	37	0	skmes_mg132_af1521.adpr.msbio	P49327	2194	-37	-1	273	37.003663003663	0.00366300366300366	9.89902989507028e-05	0.000270197243988111	FASN
FAU	40S ribosomal protein S30 OS=Homo sapiens GN=FAU PE=1 SV=1	sp|P62861|RS30_HUMAN	7 kDa	0	2	skmes_mg132_af1521.adpr.msbio	P62861	2197	2	1	7	0.142857142857143	2.14285714285714	15	201	FAU
FEN1	Flap endonuclease 1 OS=Homo sapiens GN=FEN1 PE=1 SV=1	sp|P39748|FEN1_HUMAN	43 kDa	3	6	skmes_mg132_af1521.adpr.msbio	P39748	2237	3	0.5	43	3.02325581395349	6.02325581395349	1.99230769230769	1.99667774086379	FEN1
FIP1L1	Pre-mRNA 3'-end-processing factor FIP1 OS=Homo sapiens GN=FIP1L1 PE=1 SV=1	sp|Q6UN15|FIP1_HUMAN	67 kDa	15	4	skmes_mg132_af1521.adpr.msbio	Q6UN15	81608	-11	-0.733333333333333	67	15.0149253731343	4.01492537313433	0.267395626242545	0.267155229846769	FIP1L1
FIS1	Mitochondrial fission 1 protein OS=Homo sapiens GN=FIS1 PE=1 SV=2	sp|Q9Y3D6|FIS1_HUMAN	17 kDa	2	2	skmes_mg132_af1521.adpr.msbio	Q9Y3D6	51024	0	0	17	2.05882352941176	2.05882352941176	1	1	FIS1
FKBP3	Peptidyl-prolyl cis-trans isomerase FKBP3 OS=Homo sapiens GN=FKBP3 PE=1 SV=1	sp|Q00688|FKBP3_HUMAN	25 kDa	15	22	skmes_mg132_af1521.adpr.msbio	Q00688	2287	7	0.318181818181818	25	15.04	22.04	1.46542553191489	1.46635576282478	FKBP3
FKBP4	Peptidyl-prolyl cis-trans isomerase FKBP4 OS=Homo sapiens GN=FKBP4 PE=1 SV=3	sp|Q02790|FKBP4_HUMAN	52 kDa	3	0	skmes_mg132_af1521.adpr.msbio	Q02790	2288	-3	-1	52	3.01923076923077	0.0192307692307692	0.00636942675159236	0.00332225913621263	FKBP4
FLG	Filaggrin OS=Homo sapiens GN=FLG PE=1 SV=3	sp|P20930|FILA_HUMAN	435 kDa	9	9	skmes_mg132_af1521.adpr.msbio	P20930	2312	0	0	435	9.00229885057471	9.00229885057471	1	1	FLG
FLG2	Filaggrin-2 OS=Homo sapiens GN=FLG2 PE=1 SV=1	sp|Q5D862|FILA2_HUMAN	248 kDa	13	17	skmes_mg132_af1521.adpr.msbio	Q5D862	388698	4	0.235294117647059	248	13.0040322580645	17.0040322580645	1.30759689922481	1.30745580322829	FLG2
FLII	Protein flightless-1 homolog OS=Homo sapiens GN=FLII PE=1 SV=2	sp|Q13045|FLII_HUMAN	145 kDa	11	0	skmes_mg132_af1521.adpr.msbio	Q13045	2314	-11	-1	145	11.0068965517241	0.00689655172413793	0.0006265664160401	0.000908265213442325	FLII
FLNA	Filamin-A OS=Homo sapiens GN=FLNA PE=1 SV=4	sp|P21333|FLNA_HUMAN	281 kDa	151	60	skmes_mg132_af1521.adpr.msbio	P21333	2316	-91	-0.602649006622517	281	151.003558718861	60.0035587188612	0.397365196078431	0.397390901264817	FLNA
FLNB	Filamin-B OS=Homo sapiens GN=FLNB PE=1 SV=2	sp|O75369|FLNB_HUMAN	278 kDa	29	0	skmes_mg132_af1521.adpr.msbio	O75369	2317	-29	-1	278	29.0035971223022	0.00359712230215827	0.00012402331638348	0.000344708721130645	FLNB
FLNC	Filamin-C OS=Homo sapiens GN=FLNC PE=1 SV=3	sp|Q14315|FLNC_HUMAN	291 kDa	75	42	skmes_mg132_af1521.adpr.msbio	Q14315	2318	-33	-0.44	291	75.0034364261168	42.0034364261168	0.560020159442866	0.560058658845487	FLNC
FMNL1	Formin-like protein 1 OS=Homo sapiens GN=FMNL1 PE=1 SV=3	sp|O95466|FMNL1_HUMAN	122 kDa	4	0	skmes_mg132_af1521.adpr.msbio	O95466	752	-4	-1	122	4.00819672131148	0.00819672131147541	0.00204498977505112	0.00249376558603491	FMNL1
FNBP4	Formin-binding protein 4 OS=Homo sapiens GN=FNBP4 PE=1 SV=3	sp|Q8N3X1|FNBP4_HUMAN	110 kDa	6	4	skmes_mg132_af1521.adpr.msbio	Q8N3X1	23360	-2	-0.333333333333333	110	6.00909090909091	4.00909090909091	0.667170953101362	0.667221297836938	FNBP4
FNDC3B	Fibronectin type III domain-containing protein 3B OS=Homo sapiens GN=FNDC3B PE=1 SV=2	sp|Q53EP0|FND3B_HUMAN	133 kDa	2	0	skmes_mg132_af1521.adpr.msbio	Q53EP0	64778	-2	-1	133	2.00751879699248	0.0075187969924812	0.00374531835205993	0.00497512437810945	FNDC3B
FOXK1	Forkhead box protein K1 OS=Homo sapiens GN=FOXK1 PE=1 SV=1	sp|P85037|FOXK1_HUMAN	75 kDa	5	0	skmes_mg132_af1521.adpr.msbio	P85037	221937	-5	-1	75	5.01333333333333	0.0133333333333333	0.00265957446808511	0.00199600798403194	FOXK1
FRG1	Protein FRG1 OS=Homo sapiens GN=FRG1 PE=1 SV=1	sp|Q14331|FRG1_HUMAN	29 kDa	39	36	skmes_mg132_af1521.adpr.msbio	Q14331	2483	-3	-0.0769230769230769	29	39.0344827586207	36.0344827586207	0.923144876325088	0.923096641886696	FRG1
FUBP1	Far upstream element-binding protein 1 OS=Homo sapiens GN=FUBP1 PE=1 SV=3	sp|Q96AE4|FUBP1_HUMAN	68 kDa	10	7	skmes_mg132_af1521.adpr.msbio	Q96AE4	8880	-3	-0.3	68	10.0147058823529	7.01470588235294	0.700440528634361	0.7002997002997	FUBP1
FUBP3	Far upstream element-binding protein 3 OS=Homo sapiens GN=FUBP3 PE=1 SV=2	sp|Q96I24|FUBP3_HUMAN	62 kDa	4	0	skmes_mg132_af1521.adpr.msbio	Q96I24	8939	-4	-1	62	4.01612903225806	0.0161290322580645	0.00401606425702811	0.00249376558603491	FUBP3
G6PD	Glucose-6-phosphate 1-dehydrogenase OS=Homo sapiens GN=G6PD PE=1 SV=4	sp|P11413|G6PD_HUMAN	59 kDa	19	3	skmes_mg132_af1521.adpr.msbio	P11413	2539	-16	-0.842105263157895	59	19.0169491525424	3.01694915254237	0.158645276292335	0.158337716991057	G6PD
GAK	Cyclin-G-associated kinase OS=Homo sapiens GN=GAK PE=1 SV=2	sp|O14976|GAK_HUMAN	143 kDa	2	0	skmes_mg132_af1521.adpr.msbio	O14976	2580	-2	-1	143	2.00699300699301	0.00699300699300699	0.00348432055749129	0.00497512437810945	GAK
GAPDH	Glyceraldehyde-3-phosphate dehydrogenase OS=Homo sapiens GN=GAPDH PE=1 SV=3	sp|P04406|G3P_HUMAN	36 kDa	69	11	skmes_mg132_af1521.adpr.msbio	P04406	2597	-58	-0.840579710144927	36	69.0277777777778	11.0277777777778	0.159758551307847	0.1595420953485	GAPDH
GARS	Glycine--tRNA ligase OS=Homo sapiens GN=GARS PE=1 SV=3	sp|P41250|GARS_HUMAN	83 kDa	2	0	skmes_mg132_af1521.adpr.msbio	P41250	2617	-2	-1	83	2.01204819277108	0.0120481927710843	0.00598802395209581	0.00497512437810945	GARS1
GCN1	eIF-2-alpha kinase activator GCN1 OS=Homo sapiens GN=GCN1 PE=1 SV=6	sp|Q92616|GCN1_HUMAN	293 kDa	74	38	skmes_mg132_af1521.adpr.msbio	Q92616	10985	-36	-0.486486486486487	293	74.0034129692833	38.0034129692833	0.513535949822442	0.513579246047831	GCN1
GEMIN4	Gem-associated protein 4 OS=Homo sapiens GN=GEMIN4 PE=1 SV=2	sp|P57678|GEMI4_HUMAN	120 kDa	3	0	skmes_mg132_af1521.adpr.msbio	P57678	50628	-3	-1	120	3.00833333333333	0.00833333333333333	0.00277008310249307	0.00332225913621263	GEMIN4
GEMIN5	Gem-associated protein 5 OS=Homo sapiens GN=GEMIN5 PE=1 SV=3	sp|Q8TEQ6|GEMI5_HUMAN	169 kDa	19	0	skmes_mg132_af1521.adpr.msbio	Q8TEQ6	25929	-19	-1	169	19.0059171597633	0.00591715976331361	0.000311332503113325	0.000526038926880589	GEMIN5
GET4	Golgi to ER traffic protein 4 homolog OS=Homo sapiens GN=GET4 PE=1 SV=1	sp|Q7L5D6|GET4_HUMAN	37 kDa	4	0	skmes_mg132_af1521.adpr.msbio	Q7L5D6	51608	-4	-1	37	4.02702702702703	0.027027027027027	0.00671140939597315	0.00249376558603491	GET4
GGCT	Gamma-glutamylcyclotransferase OS=Homo sapiens GN=GGCT PE=1 SV=1	sp|O75223|GGCT_HUMAN	21 kDa	2	0	skmes_mg132_af1521.adpr.msbio	O75223	79017	-2	-1	21	2.04761904761905	0.0476190476190476	0.0232558139534884	0.00497512437810945	GGCT
GIGYF2	GRB10-interacting GYF protein 2 OS=Homo sapiens GN=GIGYF2 PE=1 SV=1	sp|Q6Y7W6|GGYF2_HUMAN	150 kDa	7	0	skmes_mg132_af1521.adpr.msbio	Q6Y7W6	26058	-7	-1	150	7.00666666666667	0.00666666666666667	0.000951474785918173	0.0014265335235378	GIGYF2
GNB2	Guanine nucleotide-binding protein G(I)/G(S)/G(T) subunit beta-2 OS=Homo sapiens GN=GNB2 PE=1 SV=3	sp|P62879|GBB2_HUMAN	37 kDa	2	2	skmes_mg132_af1521.adpr.msbio	P62879	2783	0	0	37	2.02702702702703	2.02702702702703	1	1	GNB2
GNG12	Guanine nucleotide-binding protein G(I)/G(S)/G(O) subunit gamma-12 OS=Homo sapiens GN=GNG12 PE=1 SV=3	sp|Q9UBI6|GBG12_HUMAN	8 kDa	0	3	skmes_mg132_af1521.adpr.msbio	Q9UBI6	55970	3	1	8	0.125	3.125	25	301	GNG12
GOLGA2	Golgin subfamily A member 2 OS=Homo sapiens GN=GOLGA2 PE=1 SV=3	sp|Q08379|GOGA2_HUMAN	113 kDa	5	0	skmes_mg132_af1521.adpr.msbio	Q08379	2801	-5	-1	113	5.00884955752212	0.00884955752212389	0.00176678445229682	0.00199600798403194	GOLGA2
GOLGB1	Golgin subfamily B member 1 OS=Homo sapiens GN=GOLGB1 PE=1 SV=2	sp|Q14789|GOGB1_HUMAN	376 kDa	4	0	skmes_mg132_af1521.adpr.msbio	Q14789	2804	-4	-1	376	4.00265957446809	0.00265957446808511	0.000664451827242525	0.00249376558603491	GOLGB1
GORASP2	Golgi reassembly-stacking protein 2 OS=Homo sapiens GN=GORASP2 PE=1 SV=3	sp|Q9H8Y8|GORS2_HUMAN	47 kDa	8	3	skmes_mg132_af1521.adpr.msbio	Q9H8Y8	26003	-5	-0.625	47	8.02127659574468	3.02127659574468	0.376657824933687	0.375780274656679	GORASP2
GPI	Glucose-6-phosphate isomerase OS=Homo sapiens GN=GPI PE=1 SV=4	sp|P06744|G6PI_HUMAN	63 kDa	8	0	skmes_mg132_af1521.adpr.msbio	P06744	2821	-8	-1	63	8.01587301587302	0.0158730158730159	0.00198019801980198	0.00124843945068664	GPI
GPKOW	G-patch domain and KOW motifs-containing protein OS=Homo sapiens GN=GPKOW PE=1 SV=2	sp|Q92917|GPKOW_HUMAN	52 kDa	10	12	skmes_mg132_af1521.adpr.msbio	Q92917	27238	2	0.166666666666667	52	10.0192307692308	12.0192307692308	1.19961612284069	1.1998001998002	GPKOW
GRB10	Growth factor receptor-bound protein 10 OS=Homo sapiens GN=GRB10 PE=1 SV=2	sp|Q13322|GRB10_HUMAN	67 kDa	5	2	skmes_mg132_af1521.adpr.msbio	Q13322	2887	-3	-0.6	67	5.01492537313433	2.01492537313433	0.401785714285714	0.401197604790419	GRB10
GRN	Granulins OS=Homo sapiens GN=GRN PE=1 SV=2	sp|P28799|GRN_HUMAN	64 kDa	0	2	skmes_mg132_af1521.adpr.msbio	P28799	2896	2	1	64	0.015625	2.015625	129	201	GRN
GSDMA	Gasdermin-A OS=Homo sapiens GN=GSDMA PE=1 SV=4	sp|Q96QA5|GSDMA_HUMAN	49 kDa	6	0	skmes_mg132_af1521.adpr.msbio	Q96QA5	284110	-6	-1	49	6.02040816326531	0.0204081632653061	0.00338983050847458	0.00166389351081531	GSDMA
GSPT1	Eukaryotic peptide chain release factor GTP-binding subunit ERF3A OS=Homo sapiens GN=GSPT1 PE=1 SV=1	sp|P15170|ERF3A_HUMAN (+1)	56 kDa	2	0	skmes_mg132_af1521.adpr.msbio	P15170	2935	-2	-1	56	2.01785714285714	0.0178571428571429	0.00884955752212389	0.00497512437810945	GSPT1
GSTM1	Glutathione S-transferase Mu 1 OS=Homo sapiens GN=GSTM1 PE=1 SV=3	sp|P09488|GSTM1_HUMAN	26 kDa	150	168	skmes_mg132_af1521.adpr.msbio	P09488	2944	18	0.107142857142857	26	150.038461538462	168.038461538462	1.11996923865675	1.1199920005333	GSTM1
GSTM2	Glutathione S-transferase Mu 2 OS=Homo sapiens GN=GSTM2 PE=1 SV=2	sp|P28161|GSTM2_HUMAN	26 kDa	70	64	skmes_mg132_af1521.adpr.msbio	P28161	2946	-6	-0.0857142857142857	26	70.0384615384615	64.0384615384615	0.914332784184514	0.914297957434652	GSTM2
GSTM3	Glutathione S-transferase Mu 3 OS=Homo sapiens GN=GSTM3 PE=1 SV=3	sp|P21266|GSTM3_HUMAN	27 kDa	240	278	skmes_mg132_af1521.adpr.msbio	P21266	2947	38	0.136690647482014	27	240.037037037037	278.037037037037	1.15830890294708	1.15832673638598	GSTM3
GSTM4	Glutathione S-transferase Mu 4 OS=Homo sapiens GN=GSTM4 PE=1 SV=3	sp|Q03013|GSTM4_HUMAN	26 kDa	73	71	skmes_mg132_af1521.adpr.msbio	Q03013	2948	-2	-0.0273972602739726	26	73.0384615384615	71.0384615384615	0.972617166929963	0.972606492261334	GSTM4
GSTP1	Glutathione S-transferase P OS=Homo sapiens GN=GSTP1 PE=1 SV=2	sp|P09211|GSTP1_HUMAN	23 kDa	255	329	skmes_mg132_af1521.adpr.msbio	P09211	2950	74	0.224924012158055	23	255.04347826087	329.04347826087	1.29014660756904	1.29018469863927	GSTP1
GTF2B	Transcription initiation factor IIB OS=Homo sapiens GN=GTF2B PE=1 SV=1	sp|Q00403|TF2B_HUMAN	35 kDa	3	2	skmes_mg132_af1521.adpr.msbio	Q00403	2959	-1	-0.333333333333333	35	3.02857142857143	2.02857142857143	0.669811320754717	0.667774086378737	GTF2B
GTF2F2	General transcription factor IIF subunit 2 OS=Homo sapiens GN=GTF2F2 PE=1 SV=2	sp|P13984|T2FB_HUMAN	28 kDa	49	50	skmes_mg132_af1521.adpr.msbio	P13984	2963	1	0.02	28	49.0357142857143	50.0357142857143	1.0203932993445	1.02040399918384	GTF2F2
GTF2I	General transcription factor II-I OS=Homo sapiens GN=GTF2I PE=1 SV=2	sp|P78347|GTF2I_HUMAN	112 kDa	5	0	skmes_mg132_af1521.adpr.msbio	P78347	2969	-5	-1	112	5.00892857142857	0.00892857142857143	0.0017825311942959	0.00199600798403194	GTF2I
GTF3C3	General transcription factor 3C polypeptide 3 OS=Homo sapiens GN=GTF3C3 PE=1 SV=1	sp|Q9Y5Q9|TF3C3_HUMAN	101 kDa	2	0	skmes_mg132_af1521.adpr.msbio	Q9Y5Q9	9330	-2	-1	101	2.00990099009901	0.0099009900990099	0.00492610837438424	0.00497512437810945	GTF3C3
GUF1	Translation factor GUF1, mitochondrial OS=Homo sapiens GN=GUF1 PE=1 SV=1	sp|Q8N442|GUF1_HUMAN	74 kDa	13	16	skmes_mg132_af1521.adpr.msbio	Q8N442	60558	3	0.1875	74	13.0135135135135	16.0135135135135	1.23052959501558	1.23059185242121	GUF1
H2AFV	Histone H2A.V OS=Homo sapiens GN=H2AFV PE=1 SV=3	sp|Q71UI9|H2AV_HUMAN	14 kDa	3	3	skmes_mg132_af1521.adpr.msbio	Q71UI9	94239	0	0	14	3.07142857142857	3.07142857142857	1	1	H2AZ2
HADHA	Trifunctional enzyme subunit alpha, mitochondrial OS=Homo sapiens GN=HADHA PE=1 SV=2	sp|P40939|ECHA_HUMAN	83 kDa	14	13	skmes_mg132_af1521.adpr.msbio	P40939	3030	-1	-0.0714285714285714	83	14.0120481927711	13.0120481927711	0.928632846087704	0.928622412562455	HADHA
HADHB	Trifunctional enzyme subunit beta, mitochondrial OS=Homo sapiens GN=HADHB PE=1 SV=3	sp|P55084|ECHB_HUMAN	51 kDa	2	2	skmes_mg132_af1521.adpr.msbio	P55084	3032	0	0	51	2.01960784313725	2.01960784313725	1	1	HADHB
HCFC1	Host cell factor 1 OS=Homo sapiens GN=HCFC1 PE=1 SV=2	sp|P51610|HCFC1_HUMAN	209 kDa	9	0	skmes_mg132_af1521.adpr.msbio	P51610	3054	-9	-1	209	9.00478468899522	0.00478468899521531	0.00053134962805526	0.00110987791342952	HCFC1
HDAC2	Histone deacetylase 2 OS=Homo sapiens GN=HDAC2 PE=1 SV=2	sp|Q92769|HDAC2_HUMAN	55 kDa	3	0	skmes_mg132_af1521.adpr.msbio	Q92769	3066	-3	-1	55	3.01818181818182	0.0181818181818182	0.00602409638554217	0.00332225913621263	HDAC2
