genename	protein_desc	Accession_Number	Molecular_Weight	NCIH1373.AF1521.DMSO_SpC	NCIH1373.AF1521.RBN011364_SpC	label	uniprotswissprot	entrez.id	spc.trt_ctrl.delta	spc.ctrl_fraction_delta	molweight	ctrl.binding	trt.binding	trt.fc.binding	trt.fc	gene.symbol.xref
EIF4H	Eukaryotic translation initiation factor 4H OS=Homo sapiens GN=EIF4H PE=1 SV=5	sp|Q15056|IF4H_HUMAN	27 kDa	9	6	ncih1373_af1521.adpr.msbio	Q15056	7458	-3	-0.333333333333333	27	9.03703703703704	6.03703703703704	0.668032786885246	0.667036625971143	EIF4H
EIF5A	Eukaryotic translation initiation factor 5A-1 OS=Homo sapiens GN=EIF5A PE=1 SV=2	sp|P63241|IF5A1_HUMAN	17 kDa	0	4	ncih1373_af1521.adpr.msbio	P63241	1984	4	1	17	0.0588235294117647	4.05882352941176	69	401	EIF5A
EIF5B	Eukaryotic translation initiation factor 5B OS=Homo sapiens GN=EIF5B PE=1 SV=4	sp|O60841|IF2P_HUMAN	139 kDa	4	10	ncih1373_af1521.adpr.msbio	O60841	9669	6	0.6	139	4.00719424460432	10.0071942446043	2.49730700179533	2.49625935162095	EIF5B
ELANE	Neutrophil elastase OS=Homo sapiens GN=ELANE PE=1 SV=1	sp|P08246|ELNE_HUMAN	29 kDa	0	2	ncih1373_af1521.adpr.msbio	P08246	1991	2	1	29	0.0344827586206897	2.03448275862069	59	201	ELANE
ELAVL1	ELAV-like protein 1 OS=Homo sapiens GN=ELAVL1 PE=1 SV=2	sp|Q15717|ELAV1_HUMAN	36 kDa	5	0	ncih1373_af1521.adpr.msbio	Q15717	1994	-5	-1	36	5.02777777777778	0.0277777777777778	0.00552486187845304	0.00199600798403194	ELAVL1
ELOA	Elongin-A OS=Homo sapiens GN=ELOA PE=1 SV=2	sp|Q14241|ELOA1_HUMAN	90 kDa	5	17	ncih1373_af1521.adpr.msbio	Q14241	6924	12	0.705882352941177	90	5.01111111111111	17.0111111111111	3.39467849223947	3.39520958083832	ELOA
ELOB	Elongin-B OS=Homo sapiens GN=ELOB PE=1 SV=1	sp|Q15370|ELOB_HUMAN	13 kDa	0	2	ncih1373_af1521.adpr.msbio	Q15370	6923	2	1	13	0.0769230769230769	2.07692307692308	27	201	ELOB
ELOC	Elongin-C OS=Homo sapiens GN=ELOC PE=1 SV=1	sp|Q15369|ELOC_HUMAN	12 kDa	0	2	ncih1373_af1521.adpr.msbio	Q15369	6921	2	1	12	0.0833333333333333	2.08333333333333	25	201	ELOC
EMD	Emerin OS=Homo sapiens GN=EMD PE=1 SV=1	sp|P50402|EMD_HUMAN	29 kDa	8	0	ncih1373_af1521.adpr.msbio	P50402	2010	-8	-1	29	8.03448275862069	0.0344827586206897	0.00429184549356223	0.00124843945068664	EMD
ENO1	Alpha-enolase OS=Homo sapiens GN=ENO1 PE=1 SV=2	sp|P06733|ENOA_HUMAN	47 kDa	9	7	ncih1373_af1521.adpr.msbio	P06733	2023	-2	-0.222222222222222	47	9.02127659574468	7.02127659574468	0.778301886792453	0.778024417314095	ENO1
ENY2	Transcription and mRNA export factor ENY2 OS=Homo sapiens GN=ENY2 PE=1 SV=1	sp|Q9NPA8|ENY2_HUMAN	12 kDa	3	2	ncih1373_af1521.adpr.msbio	Q9NPA8	56943	-1	-0.333333333333333	12	3.08333333333333	2.08333333333333	0.675675675675676	0.667774086378737	ENY2
EPB41L2	Band 4.1-like protein 2 OS=Homo sapiens GN=EPB41L2 PE=1 SV=1	sp|O43491|E41L2_HUMAN	113 kDa	3	0	ncih1373_af1521.adpr.msbio	O43491	2037	-3	-1	113	3.00884955752212	0.00884955752212389	0.00294117647058824	0.00332225913621263	EPB41L2
EPCAM	Epithelial cell adhesion molecule OS=Homo sapiens GN=EPCAM PE=1 SV=2	sp|P16422|EPCAM_HUMAN	35 kDa	5	0	ncih1373_af1521.adpr.msbio	P16422	4072	-5	-1	35	5.02857142857143	0.0285714285714286	0.00568181818181818	0.00199600798403194	EPCAM
EPHA2	Ephrin type-A receptor 2 OS=Homo sapiens GN=EPHA2 PE=1 SV=2	sp|P29317|EPHA2_HUMAN	108 kDa	6	0	ncih1373_af1521.adpr.msbio	P29317	1969	-6	-1	108	6.00925925925926	0.00925925925925926	0.00154083204930663	0.00166389351081531	EPHA2
EPHX1	Epoxide hydrolase 1 OS=Homo sapiens GN=EPHX1 PE=1 SV=1	sp|P07099|HYEP_HUMAN	53 kDa	5	5	ncih1373_af1521.adpr.msbio	P07099	2052	0	0	53	5.0188679245283	5.0188679245283	1	1	EPHX1
EPRS	Bifunctional glutamate/proline--tRNA ligase OS=Homo sapiens GN=EPRS PE=1 SV=5	sp|P07814|SYEP_HUMAN	171 kDa	10	12	ncih1373_af1521.adpr.msbio	P07814	2058	2	0.166666666666667	171	10.0058479532164	12.0058479532164	1.19988310929281	1.1998001998002	EPRS1
EPS8L2	Epidermal growth factor receptor kinase substrate 8-like protein 2 OS=Homo sapiens GN=EPS8L2 PE=1 SV=2	sp|Q9H6S3|ES8L2_HUMAN	81 kDa	9	0	ncih1373_af1521.adpr.msbio	Q9H6S3	64787	-9	-1	81	9.01234567901234	0.0123456790123457	0.00136986301369863	0.00110987791342952	EPS8L2
ERC1	ELKS/Rab6-interacting/CAST family member 1 OS=Homo sapiens GN=ERC1 PE=1 SV=1	sp|Q8IUD2|RB6I2_HUMAN	128 kDa	2	0	ncih1373_af1521.adpr.msbio	Q8IUD2	23085	-2	-1	128	2.0078125	0.0078125	0.00389105058365759	0.00497512437810945	ERC1
ERH	Enhancer of rudimentary homolog OS=Homo sapiens GN=ERH PE=1 SV=1	sp|P84090|ERH_HUMAN	12 kDa	2	4	ncih1373_af1521.adpr.msbio	P84090	2079	2	0.5	12	2.08333333333333	4.08333333333333	1.96	1.99502487562189	ERH
ESF1	ESF1 homolog OS=Homo sapiens GN=ESF1 PE=1 SV=1	sp|Q9H501|ESF1_HUMAN	99 kDa	7	0	ncih1373_af1521.adpr.msbio	Q9H501	51575	-7	-1	99	7.01010101010101	0.0101010101010101	0.00144092219020173	0.0014265335235378	ESF1
ESRP1	Epithelial splicing regulatory protein 1 OS=Homo sapiens GN=ESRP1 PE=1 SV=2	sp|Q6NXG1|ESRP1_HUMAN	76 kDa	3	0	ncih1373_af1521.adpr.msbio	Q6NXG1	54845	-3	-1	76	3.01315789473684	0.0131578947368421	0.00436681222707424	0.00332225913621263	ESRP1
ESYT1	Extended synaptotagmin-1 OS=Homo sapiens GN=ESYT1 PE=1 SV=1	sp|Q9BSJ8|ESYT1_HUMAN	123 kDa	5	3	ncih1373_af1521.adpr.msbio	Q9BSJ8	23344	-2	-0.4	123	5.00813008130081	3.00813008130081	0.600649350649351	0.600798403193613	ESYT1
ETFB	Electron transfer flavoprotein subunit beta OS=Homo sapiens GN=ETFB PE=1 SV=3	sp|P38117|ETFB_HUMAN	28 kDa	2	2	ncih1373_af1521.adpr.msbio	P38117	2109	0	0	28	2.03571428571429	2.03571428571429	1	1	ETFB
EVPL	Envoplakin OS=Homo sapiens GN=EVPL PE=1 SV=3	sp|Q92817|EVPL_HUMAN	232 kDa	8	31	ncih1373_af1521.adpr.msbio	Q92817	2125	23	0.741935483870968	232	8.00431034482759	31.0043103448276	3.87345180398492	3.87141073657928	EVPL
EZR	Ezrin OS=Homo sapiens GN=EZR PE=1 SV=4	sp|P15311|EZRI_HUMAN	69 kDa	60	83	ncih1373_af1521.adpr.msbio	P15311	7430	23	0.27710843373494	69	60.0144927536232	83.0144927536232	1.3832407631007	1.38326945509082	EZR
F3	Tissue factor OS=Homo sapiens GN=F3 PE=1 SV=1	sp|P13726|TF_HUMAN	33 kDa	3	2	ncih1373_af1521.adpr.msbio	P13726	2152	-1	-0.333333333333333	33	3.03030303030303	2.03030303030303	0.67	0.667774086378737	F3
FABP5	"Fatty acid-binding protein, epidermal OS=Homo sapiens GN=FABP5 PE=1 SV=3"	sp|Q01469|FABP5_HUMAN	15 kDa	0	6	ncih1373_af1521.adpr.msbio	Q01469	2171	6	1	15	0.0666666666666667	6.06666666666667	91	601	FABP5
FAM120A	Constitutive coactivator of PPAR-gamma-like protein 1 OS=Homo sapiens GN=FAM120A PE=1 SV=2	sp|Q9NZB2|F120A_HUMAN	122 kDa	21	4	ncih1373_af1521.adpr.msbio	Q9NZB2	23196	-17	-0.80952380952381	122	21.0081967213115	4.00819672131148	0.190792040577448	0.190861494526416	FAM120A
FAM32A	Protein FAM32A OS=Homo sapiens GN=FAM32A PE=1 SV=2	sp|Q9Y421|FA32A_HUMAN	13 kDa	16	16	ncih1373_af1521.adpr.msbio	Q9Y421	26017	0	0	13	16.0769230769231	16.0769230769231	1	1	FAM32A
FAM3C	Protein FAM3C OS=Homo sapiens GN=FAM3C PE=1 SV=1	sp|Q92520|FAM3C_HUMAN	25 kDa	3	3	ncih1373_af1521.adpr.msbio	Q92520	10447	0	0	25	3.04	3.04	1	1	FAM3C
FAM83H	Protein FAM83H OS=Homo sapiens GN=FAM83H PE=1 SV=3	sp|Q6ZRV2|FA83H_HUMAN	127 kDa	14	0	ncih1373_af1521.adpr.msbio	Q6ZRV2	286077	-14	-1	127	14.007874015748	0.0078740157480315	0.000562113546936481	0.000713775874375446	FAM83H
FASN	Fatty acid synthase OS=Homo sapiens GN=FASN PE=1 SV=3	sp|P49327|FAS_HUMAN	273 kDa	25	17	ncih1373_af1521.adpr.msbio	P49327	2194	-8	-0.32	273	25.003663003663	17.003663003663	0.680046879578084	0.680127948820472	FASN
FGA	Fibrinogen alpha chain OS=Homo sapiens GN=FGA PE=1 SV=2	sp|P02671|FIBA_HUMAN	95 kDa	0	7	ncih1373_af1521.adpr.msbio	P02671	2243	7	1	95	0.0105263157894737	7.01052631578947	666	701	FGA
FGB	Fibrinogen beta chain OS=Homo sapiens GN=FGB PE=1 SV=2	sp|P02675|FIBB_HUMAN	56 kDa	0	2	ncih1373_af1521.adpr.msbio	P02675	2244	2	1	56	0.0178571428571429	2.01785714285714	113	201	FGB
FGG	Fibrinogen gamma chain OS=Homo sapiens GN=FGG PE=1 SV=3	sp|P02679|FIBG_HUMAN	52 kDa	0	3	ncih1373_af1521.adpr.msbio	P02679	2266	3	1	52	0.0192307692307692	3.01923076923077	157	301	FGG
FHL2	Four and a half LIM domains protein 2 OS=Homo sapiens GN=FHL2 PE=1 SV=3	sp|Q14192|FHL2_HUMAN	32 kDa	7	0	ncih1373_af1521.adpr.msbio	Q14192	2274	-7	-1	32	7.03125	0.03125	0.00444444444444444	0.0014265335235378	FHL2
FIS1	Mitochondrial fission 1 protein OS=Homo sapiens GN=FIS1 PE=1 SV=2	sp|Q9Y3D6|FIS1_HUMAN	17 kDa	0	3	ncih1373_af1521.adpr.msbio	Q9Y3D6	51024	3	1	17	0.0588235294117647	3.05882352941176	52	301	FIS1
FKBP15	FK506-binding protein 15 OS=Homo sapiens GN=FKBP15 PE=1 SV=2	sp|Q5T1M5|FKB15_HUMAN	134 kDa	4	3	ncih1373_af1521.adpr.msbio	Q5T1M5	23307	-1	-0.25	134	4.00746268656716	3.00746268656716	0.750465549348231	0.750623441396509	FKBP15
FKBP3	Peptidyl-prolyl cis-trans isomerase FKBP3 OS=Homo sapiens GN=FKBP3 PE=1 SV=1	sp|Q00688|FKBP3_HUMAN	25 kDa	0	3	ncih1373_af1521.adpr.msbio	Q00688	2287	3	1	25	0.04	3.04	76	301	FKBP3
FKBP4	Peptidyl-prolyl cis-trans isomerase FKBP4 OS=Homo sapiens GN=FKBP4 PE=1 SV=3	sp|Q02790|FKBP4_HUMAN	52 kDa	4	2	ncih1373_af1521.adpr.msbio	Q02790	2288	-2	-0.5	52	4.01923076923077	2.01923076923077	0.502392344497608	0.501246882793017	FKBP4
FLG	Filaggrin OS=Homo sapiens GN=FLG PE=1 SV=3	sp|P20930|FILA_HUMAN	435 kDa	12	10	ncih1373_af1521.adpr.msbio	P20930	2312	-2	-0.166666666666667	435	12.0022988505747	10.0022988505747	0.833365255698142	0.833472106577852	FLG
FLG2	Filaggrin-2 OS=Homo sapiens GN=FLG2 PE=1 SV=1	sp|Q5D862|FILA2_HUMAN	248 kDa	11	14	ncih1373_af1521.adpr.msbio	Q5D862	388698	3	0.214285714285714	248	11.0040322580645	14.0040322580645	1.27262733602052	1.2724795640327	FLG2
FLII	Protein flightless-1 homolog OS=Homo sapiens GN=FLII PE=1 SV=2	sp|Q13045|FLII_HUMAN	145 kDa	9	6	ncih1373_af1521.adpr.msbio	Q13045	2314	-3	-0.333333333333333	145	9.00689655172414	6.00689655172414	0.666921898928024	0.667036625971143	FLII
FLNA	Filamin-A OS=Homo sapiens GN=FLNA PE=1 SV=4	sp|P21333|FLNA_HUMAN	281 kDa	67	73	ncih1373_af1521.adpr.msbio	P21333	2316	6	0.0821917808219178	281	67.0035587188612	73.0035587188612	1.08954748247291	1.08953887479481	FLNA
FLNB	Filamin-B OS=Homo sapiens GN=FLNB PE=1 SV=2	sp|O75369|FLNB_HUMAN	278 kDa	58	53	ncih1373_af1521.adpr.msbio	O75369	2317	-5	-0.0862068965517241	278	58.0035971223022	53.0035971223022	0.913798449612403	0.913807964144113	FLNB
FLNC	Filamin-C OS=Homo sapiens GN=FLNC PE=1 SV=3	sp|Q14315|FLNC_HUMAN	291 kDa	48	36	ncih1373_af1521.adpr.msbio	Q14315	2318	-12	-0.25	291	48.0034364261168	36.0034364261168	0.750017896771422	0.750052072484899	FLNC
FMN1	Formin-1 OS=Homo sapiens GN=FMN1 PE=1 SV=3	sp|Q68DA7|FMN1_HUMAN	158 kDa	16	0	ncih1373_af1521.adpr.msbio	Q68DA7	342184	-16	-1	158	16.006329113924	0.00632911392405063	0.000395413206801107	0.000624609618988132	FMN1
FMNL1	Formin-like protein 1 OS=Homo sapiens GN=FMNL1 PE=1 SV=3	sp|O95466|FMNL1_HUMAN	122 kDa	12	19	ncih1373_af1521.adpr.msbio	O95466	752	7	0.368421052631579	122	12.0081967213115	19.0081967213115	1.58293515358362	1.58284762697752	FMNL1
FRG1	Protein FRG1 OS=Homo sapiens GN=FRG1 PE=1 SV=1	sp|Q14331|FRG1_HUMAN	29 kDa	67	74	ncih1373_af1521.adpr.msbio	Q14331	2483	7	0.0945945945945946	29	67.0344827586207	74.0344827586207	1.10442386831276	1.10446202059394	FRG1
FUBP1	Far upstream element-binding protein 1 OS=Homo sapiens GN=FUBP1 PE=1 SV=3	sp|Q96AE4|FUBP1_HUMAN	68 kDa	13	7	ncih1373_af1521.adpr.msbio	Q96AE4	8880	-6	-0.461538461538462	68	13.0147058823529	7.01470588235294	0.538983050847458	0.538816295157571	FUBP1
FUBP3	Far upstream element-binding protein 3 OS=Homo sapiens GN=FUBP3 PE=1 SV=2	sp|Q96I24|FUBP3_HUMAN	62 kDa	2	0	ncih1373_af1521.adpr.msbio	Q96I24	8939	-2	-1	62	2.01612903225806	0.0161290322580645	0.008	0.00497512437810945	FUBP3
FXR1	Fragile X mental retardation syndrome-related protein 1 OS=Homo sapiens GN=FXR1 PE=1 SV=3	sp|P51114|FXR1_HUMAN (+1)	70 kDa	2	0	ncih1373_af1521.adpr.msbio	P51114	8087	-2	-1	70	2.01428571428571	0.0142857142857143	0.00709219858156028	0.00497512437810945	FXR1
G3BP1	Ras GTPase-activating protein-binding protein 1 OS=Homo sapiens GN=G3BP1 PE=1 SV=1	sp|Q13283|G3BP1_HUMAN	52 kDa	3	2	ncih1373_af1521.adpr.msbio	Q13283	10146	-1	-0.333333333333333	52	3.01923076923077	2.01923076923077	0.668789808917197	0.667774086378737	G3BP1
G3BP2	Ras GTPase-activating protein-binding protein 2 OS=Homo sapiens GN=G3BP2 PE=1 SV=2	sp|Q9UN86|G3BP2_HUMAN	54 kDa	2	0	ncih1373_af1521.adpr.msbio	Q9UN86	9908	-2	-1	54	2.01851851851852	0.0185185185185185	0.0091743119266055	0.00497512437810945	G3BP2
G6PD	Glucose-6-phosphate 1-dehydrogenase OS=Homo sapiens GN=G6PD PE=1 SV=4	sp|P11413|G6PD_HUMAN	59 kDa	10	11	ncih1373_af1521.adpr.msbio	P11413	2539	1	0.0909090909090909	59	10.0169491525424	11.0169491525424	1.09983079526227	1.0999000999001	G6PD
GANAB	Neutral alpha-glucosidase AB OS=Homo sapiens GN=GANAB PE=1 SV=3	sp|Q14697|GANAB_HUMAN	107 kDa	10	5	ncih1373_af1521.adpr.msbio	Q14697	23193	-5	-0.5	107	10.0093457943925	5.00934579439252	0.50046685340803	0.500499500499501	GANAB
GAPDH	Glyceraldehyde-3-phosphate dehydrogenase OS=Homo sapiens GN=GAPDH PE=1 SV=3	sp|P04406|G3P_HUMAN	36 kDa	22	29	ncih1373_af1521.adpr.msbio	P04406	2597	7	0.241379310344828	36	22.0277777777778	29.0277777777778	1.31778058007566	1.31803725579282	GAPDH
GCLC	Glutamate--cysteine ligase catalytic subunit OS=Homo sapiens GN=GCLC PE=1 SV=2	sp|P48506|GSH1_HUMAN	73 kDa	0	2	ncih1373_af1521.adpr.msbio	P48506	2729	2	1	73	0.0136986301369863	2.01369863013699	147	201	GCLC
GEMIN5	Gem-associated protein 5 OS=Homo sapiens GN=GEMIN5 PE=1 SV=3	sp|Q8TEQ6|GEMI5_HUMAN	169 kDa	3	0	ncih1373_af1521.adpr.msbio	Q8TEQ6	25929	-3	-1	169	3.00591715976331	0.00591715976331361	0.00196850393700787	0.00332225913621263	GEMIN5
GEN1	Flap endonuclease GEN homolog 1 OS=Homo sapiens GN=GEN1 PE=1 SV=2	sp|Q17RS7|GEN_HUMAN	103 kDa	0	2	ncih1373_af1521.adpr.msbio	Q17RS7	348654	2	1	103	0.00970873786407767	2.00970873786408	207	201	GEN1
GET4	Golgi to ER traffic protein 4 homolog OS=Homo sapiens GN=GET4 PE=1 SV=1	sp|Q7L5D6|GET4_HUMAN	37 kDa	5	0	ncih1373_af1521.adpr.msbio	Q7L5D6	51608	-5	-1	37	5.02702702702703	0.027027027027027	0.00537634408602151	0.00199600798403194	GET4
GIGYF2	GRB10-interacting GYF protein 2 OS=Homo sapiens GN=GIGYF2 PE=1 SV=1	sp|Q6Y7W6|GGYF2_HUMAN	150 kDa	5	0	ncih1373_af1521.adpr.msbio	Q6Y7W6	26058	-5	-1	150	5.00666666666667	0.00666666666666667	0.00133155792276964	0.00199600798403194	GIGYF2
GNAI2	Guanine nucleotide-binding protein G(i) subunit alpha-2 OS=Homo sapiens GN=GNAI2 PE=1 SV=3	sp|P04899|GNAI2_HUMAN (+2)	40 kDa	4	0	ncih1373_af1521.adpr.msbio	P04899	2771	-4	-1	40	4.025	0.025	0.0062111801242236	0.00249376558603491	GNAI2
GNB1	Guanine nucleotide-binding protein G(I)/G(S)/G(T) subunit beta-1 OS=Homo sapiens GN=GNB1 PE=1 SV=3	sp|P62873|GBB1_HUMAN	37 kDa	12	8	ncih1373_af1521.adpr.msbio	P62873	2782	-4	-0.333333333333333	37	12.027027027027	8.02702702702703	0.667415730337079	0.666944213155704	GNB1
GNG12	Guanine nucleotide-binding protein G(I)/G(S)/G(O) subunit gamma-12 OS=Homo sapiens GN=GNG12 PE=1 SV=3	sp|Q9UBI6|GBG12_HUMAN	8 kDa	3	0	ncih1373_af1521.adpr.msbio	Q9UBI6	55970	-3	-1	8	3.125	0.125	0.04	0.00332225913621263	GNG12
GNG5	Guanine nucleotide-binding protein G(I)/G(S)/G(O) subunit gamma-5 OS=Homo sapiens GN=GNG5 PE=1 SV=3	sp|P63218|GBG5_HUMAN	7 kDa	2	0	ncih1373_af1521.adpr.msbio	P63218	2787	-2	-1	7	2.14285714285714	0.142857142857143	0.0666666666666667	0.00497512437810945	GNG5
GOLGA4	Golgin subfamily A member 4 OS=Homo sapiens GN=GOLGA4 PE=1 SV=1	sp|Q13439|GOGA4_HUMAN	261 kDa	3	0	ncih1373_af1521.adpr.msbio	Q13439	2803	-3	-1	261	3.00383141762452	0.00383141762452107	0.00127551020408163	0.00332225913621263	GOLGA4
GOLPH3	Golgi phosphoprotein 3 OS=Homo sapiens GN=GOLPH3 PE=1 SV=1	sp|Q9H4A6|GOLP3_HUMAN	34 kDa	3	0	ncih1373_af1521.adpr.msbio	Q9H4A6	64083	-3	-1	34	3.02941176470588	0.0294117647058824	0.00970873786407767	0.00332225913621263	GOLPH3
GORASP2	Golgi reassembly-stacking protein 2 OS=Homo sapiens GN=GORASP2 PE=1 SV=3	sp|Q9H8Y8|GORS2_HUMAN	47 kDa	4	0	ncih1373_af1521.adpr.msbio	Q9H8Y8	26003	-4	-1	47	4.02127659574468	0.0212765957446809	0.00529100529100529	0.00249376558603491	GORASP2
GPD2	"Glycerol-3-phosphate dehydrogenase, mitochondrial OS=Homo sapiens GN=GPD2 PE=1 SV=3"	sp|P43304|GPDM_HUMAN	81 kDa	12	10	ncih1373_af1521.adpr.msbio	P43304	2820	-2	-0.166666666666667	81	12.0123456790123	10.0123456790123	0.833504624871531	0.833472106577852	GPD2
GSDMA	Gasdermin-A OS=Homo sapiens GN=GSDMA PE=1 SV=4	sp|Q96QA5|GSDMA_HUMAN	49 kDa	2	0	ncih1373_af1521.adpr.msbio	Q96QA5	284110	-2	-1	49	2.02040816326531	0.0204081632653061	0.0101010101010101	0.00497512437810945	GSDMA
GSPT1	Eukaryotic peptide chain release factor GTP-binding subunit ERF3A OS=Homo sapiens GN=GSPT1 PE=1 SV=1	sp|P15170|ERF3A_HUMAN	56 kDa	18	15	ncih1373_af1521.adpr.msbio	P15170	2935	-3	-0.166666666666667	56	18.0178571428571	15.0178571428571	0.833498513379584	0.833425874514159	GSPT1
GSTM2	Glutathione S-transferase Mu 2 OS=Homo sapiens GN=GSTM2 PE=1 SV=2	sp|P28161|GSTM2_HUMAN	26 kDa	42	48	ncih1373_af1521.adpr.msbio	P28161	2946	6	0.125	26	42.0384615384615	48.0384615384615	1.14272644098811	1.14282313734825	GSTM2
GSTM3	Glutathione S-transferase Mu 3 OS=Homo sapiens GN=GSTM3 PE=1 SV=3	sp|P21266|GSTM3_HUMAN	27 kDa	91	113	ncih1373_af1521.adpr.msbio	P21266	2947	22	0.194690265486726	27	91.037037037037	113.037037037037	1.24165988608625	1.2417316778376	GSTM3
GSTM4	Glutathione S-transferase Mu 4 OS=Homo sapiens GN=GSTM4 PE=1 SV=3	sp|Q03013|GSTM4_HUMAN	26 kDa	23	16	ncih1373_af1521.adpr.msbio	Q03013	2948	-7	-0.304347826086957	26	23.0384615384615	16.0384615384615	0.696160267111853	0.695784441547153	GSTM4
GSTP1	Glutathione S-transferase P OS=Homo sapiens GN=GSTP1 PE=1 SV=2	sp|P09211|GSTP1_HUMAN	23 kDa	147	226	ncih1373_af1521.adpr.msbio	P09211	2950	79	0.349557522123894	23	147.04347826087	226.04347826087	1.53725606150207	1.537378409632	GSTP1
GTF2F2	General transcription factor IIF subunit 2 OS=Homo sapiens GN=GTF2F2 PE=1 SV=2	sp|P13984|T2FB_HUMAN	28 kDa	10	12	ncih1373_af1521.adpr.msbio	P13984	2963	2	0.166666666666667	28	10.0357142857143	12.0357142857143	1.19928825622776	1.1998001998002	GTF2F2
GTF2I	General transcription factor II-I OS=Homo sapiens GN=GTF2I PE=1 SV=2	sp|P78347|GTF2I_HUMAN	112 kDa	0	2	ncih1373_af1521.adpr.msbio	P78347	2969	2	1	112	0.00892857142857143	2.00892857142857	225	201	GTF2I
GUF1	"Translation factor GUF1, mitochondrial OS=Homo sapiens GN=GUF1 PE=1 SV=1"	sp|Q8N442|GUF1_HUMAN	74 kDa	0	2	ncih1373_af1521.adpr.msbio	Q8N442	60558	2	1	74	0.0135135135135135	2.01351351351351	149	201	GUF1
H2AFV	Histone H2A.V OS=Homo sapiens GN=H2AFV PE=1 SV=3	sp|Q71UI9|H2AV_HUMAN	14 kDa	7	0	ncih1373_af1521.adpr.msbio	Q71UI9	94239	-7	-1	14	7.07142857142857	0.0714285714285714	0.0101010101010101	0.0014265335235378	H2AZ2
H2AFX	Histone H2AX OS=Homo sapiens GN=H2AFX PE=1 SV=2	sp|P16104|H2AX_HUMAN	15 kDa	7	0	ncih1373_af1521.adpr.msbio	P16104	3014	-7	-1	15	7.06666666666667	0.0666666666666667	0.00943396226415094	0.0014265335235378	H2AX
HADHA	"Trifunctional enzyme subunit alpha, mitochondrial OS=Homo sapiens GN=HADHA PE=1 SV=2"	sp|P40939|ECHA_HUMAN	83 kDa	19	13	ncih1373_af1521.adpr.msbio	P40939	3030	-6	-0.315789473684211	83	19.0120481927711	13.0120481927711	0.684410646387833	0.684376643871646	HADHA
HADHB	"Trifunctional enzyme subunit beta, mitochondrial OS=Homo sapiens GN=HADHB PE=1 SV=3"	sp|P55084|ECHB_HUMAN	51 kDa	2	0	ncih1373_af1521.adpr.msbio	P55084	3032	-2	-1	51	2.01960784313725	0.0196078431372549	0.00970873786407767	0.00497512437810945	HADHB
HCFC1	Host cell factor 1 OS=Homo sapiens GN=HCFC1 PE=1 SV=2	sp|P51610|HCFC1_HUMAN	209 kDa	2	0	ncih1373_af1521.adpr.msbio	P51610	3054	-2	-1	209	2.00478468899522	0.00478468899521531	0.00238663484486873	0.00497512437810945	HCFC1
HDGFL3	Hepatoma-derived growth factor-related protein 3 OS=Homo sapiens GN=HDGFL3 PE=1 SV=1	sp|Q9Y3E1|HDGR3_HUMAN	23 kDa	2	3	ncih1373_af1521.adpr.msbio	Q9Y3E1	50810	1	0.333333333333333	23	2.04347826086957	3.04347826086957	1.48936170212766	1.49751243781095	HDGFL3
HDLBP	Vigilin OS=Homo sapiens GN=HDLBP PE=1 SV=2	sp|Q00341|VIGLN_HUMAN	141 kDa	39	23	ncih1373_af1521.adpr.msbio	Q00341	3069	-16	-0.41025641025641	141	39.0070921985816	23.0070921985816	0.589818181818182	0.589848756729044	HDLBP
HEATR1	HEAT repeat-containing protein 1 OS=Homo sapiens GN=HEATR1 PE=1 SV=3	sp|Q9H583|HEAT1_HUMAN	242 kDa	10	0	ncih1373_af1521.adpr.msbio	Q9H583	55127	-10	-1	242	10.004132231405	0.00413223140495868	0.000413052457662123	0.000999000999000999	HEATR1
HGS	Hepatocyte growth factor-regulated tyrosine kinase substrate OS=Homo sapiens GN=HGS PE=1 SV=1	sp|O14964|HGS_HUMAN	86 kDa	5	0	ncih1373_af1521.adpr.msbio	O14964	9146	-5	-1	86	5.01162790697674	0.0116279069767442	0.00232018561484919	0.00199600798403194	HGS
HIST1H1B	Histone H1.5 OS=Homo sapiens GN=HIST1H1B PE=1 SV=3	sp|P16401|H15_HUMAN	23 kDa	7	0	ncih1373_af1521.adpr.msbio	P16401	3009	-7	-1	23	7.04347826086957	0.0434782608695652	0.00617283950617284	0.0014265335235378	H1-5
HIST1H1C	Histone H1.2 OS=Homo sapiens GN=HIST1H1C PE=1 SV=2	sp|P16403|H12_HUMAN	21 kDa	14	0	ncih1373_af1521.adpr.msbio	P16403	3006	-14	-1	21	14.047619047619	0.0476190476190476	0.00338983050847458	0.000713775874375446	H1-2
HIST1H2AG	Histone H2A type 1 OS=Homo sapiens GN=HIST1H2AG PE=1 SV=2	sp|P0C0S8|H2A1_HUMAN (+3)	14 kDa	32	13	ncih1373_af1521.adpr.msbio	P0C0S8	8969	-19	-0.59375	14	32.0714285714286	13.0714285714286	0.407572383073497	0.406435488909716	H2AC11
HIST1H2BJ	Histone H2B type 1-J OS=Homo sapiens GN=HIST1H2BJ PE=1 SV=3	sp|P06899|H2B1J_HUMAN (+3)	14 kDa	16	11	ncih1373_af1521.adpr.msbio	P06899	8970	-5	-0.3125	14	16.0714285714286	11.0714285714286	0.688888888888889	0.687695190505934	H2BC11
