genename	protein_desc	Accession_Number	Molecular_Weight	SKMES1.AF1521.DMSO_SpC	SKMES1.AF1521.RBN011628_1um_SpC	label	uniprotswissprot	entrez.id	spc.trt_ctrl.delta	spc.ctrl_fraction_delta	molweight	ctrl.binding	trt.binding	trt.fc.binding	trt.fc	gene.symbol.xref
CLP1	Polyribonucleotide 5'-hydroxyl-kinase Clp1 OS=Homo sapiens GN=CLP1 PE=1 SV=1	sp|Q92989|CLP1_HUMAN	48 kDa	10	7	skmes_adpr.msbio	Q92989	10978	-3	-0.3	48	10.0208333333333	7.02083333333333	0.700623700623701	0.7002997002997	CLP1
CLPX	ATP-dependent Clp protease ATP-binding subunit clpX-like, mitochondrial OS=Homo sapiens GN=CLPX PE=1 SV=2	sp|O76031|CLPX_HUMAN	69 kDa	2	0	skmes_adpr.msbio	O76031	10845	-2	-1	69	2.01449275362319	0.0144927536231884	0.00719424460431655	0.00497512437810945	CLPX
CLSPN	Claspin OS=Homo sapiens GN=CLSPN PE=1 SV=3	sp|Q9HAW4|CLSPN_HUMAN	151 kDa	11	0	skmes_adpr.msbio	Q9HAW4	63967	-11	-1	151	11.0066225165563	0.00662251655629139	0.000601684717208183	0.000908265213442325	CLSPN
CLTC	Clathrin heavy chain 1 OS=Homo sapiens GN=CLTC PE=1 SV=5	sp|Q00610|CLH1_HUMAN	192 kDa	9	11	skmes_adpr.msbio	Q00610	1213	2	0.181818181818182	192	9.00520833333333	11.0052083333333	1.22209369577791	1.2219755826859	CLTC
CMSS1	Protein CMSS1 OS=Homo sapiens GN=CMSS1 PE=1 SV=2	sp|Q9BQ75|CMS1_HUMAN	32 kDa	3	0	skmes_adpr.msbio	Q9BQ75	84319	-3	-1	32	3.03125	0.03125	0.0103092783505155	0.00332225913621263	CMSS1
CNOT1	CCR4-NOT transcription complex subunit 1 OS=Homo sapiens GN=CNOT1 PE=1 SV=2	sp|A5YKK6|CNOT1_HUMAN	267 kDa	7	3	skmes_adpr.msbio	A5YKK6	23019	-4	-0.571428571428571	267	7.00374531835206	3.00374531835206	0.428877005347594	0.429386590584879	CNOT1
CNP	2',3'-cyclic-nucleotide 3'-phosphodiesterase OS=Homo sapiens GN=CNP PE=1 SV=2	sp|P09543|CN37_HUMAN	48 kDa	6	12	skmes_adpr.msbio	P09543	1267	6	0.5	48	6.02083333333333	12.0208333333333	1.99653979238754	1.99833610648918	CNP
COIL	Coilin OS=Homo sapiens GN=COIL PE=1 SV=1	sp|P38432|COIL_HUMAN	63 kDa	0	4	skmes_adpr.msbio	P38432	8161	4	1	63	0.0158730158730159	4.01587301587302	253	401	COIL
COL1A1	Collagen alpha-1(I) chain OS=Homo sapiens GN=COL1A1 PE=1 SV=5	sp|P02452|CO1A1_HUMAN	139 kDa	2	0	skmes_adpr.msbio	P02452	1277	-2	-1	139	2.00719424460432	0.00719424460431655	0.003584229390681	0.00497512437810945	COL1A1
COMT	Catechol O-methyltransferase OS=Homo sapiens GN=COMT PE=1 SV=2	sp|P21964|COMT_HUMAN	30 kDa	6	3	skmes_adpr.msbio	P21964	1312	-3	-0.5	30	6.03333333333333	3.03333333333333	0.502762430939226	0.500831946755408	COMT
COPA	Coatomer subunit alpha OS=Homo sapiens GN=COPA PE=1 SV=2	sp|P53621|COPA_HUMAN	138 kDa	7	10	skmes_adpr.msbio	P53621	1314	3	0.3	138	7.00724637681159	10.0072463768116	1.42812823164426	1.42796005706134	COPA
COPB1	Coatomer subunit beta OS=Homo sapiens GN=COPB1 PE=1 SV=3	sp|P53618|COPB_HUMAN	107 kDa	0	3	skmes_adpr.msbio	P53618	1315	3	1	107	0.00934579439252336	3.00934579439252	322	301	COPB1
COQ8B	Atypical kinase COQ8B, mitochondrial OS=Homo sapiens GN=COQ8B PE=1 SV=2	sp|Q96D53|COQ8B_HUMAN	60 kDa	0	2	skmes_adpr.msbio	Q96D53	79934	2	1	60	0.0166666666666667	2.01666666666667	121	201	COQ8B
COQ9	Ubiquinone biosynthesis protein COQ9, mitochondrial OS=Homo sapiens GN=COQ9 PE=1 SV=1	sp|O75208|COQ9_HUMAN	36 kDa	0	3	skmes_adpr.msbio	O75208	57017	3	1	36	0.0277777777777778	3.02777777777778	109	301	COQ9
CORO1A	Coronin-1A OS=Homo sapiens GN=CORO1A PE=1 SV=4	sp|P31146|COR1A_HUMAN	51 kDa	0	13	skmes_adpr.msbio	P31146	11151	13	1	51	0.0196078431372549	13.0196078431373	664	1301	CORO1A
COTL1	Coactosin-like protein OS=Homo sapiens GN=COTL1 PE=1 SV=3	sp|Q14019|COTL1_HUMAN	16 kDa	0	19	skmes_adpr.msbio	Q14019	23406	19	1	16	0.0625	19.0625	305	1901	COTL1
CPSF6	Cleavage and polyadenylation specificity factor subunit 6 OS=Homo sapiens GN=CPSF6 PE=1 SV=2	sp|Q16630|CPSF6_HUMAN	59 kDa	3	2	skmes_adpr.msbio	Q16630	11052	-1	-0.333333333333333	59	3.01694915254237	2.01694915254237	0.668539325842697	0.667774086378737	CPSF6
CPSF7	Cleavage and polyadenylation specificity factor subunit 7 OS=Homo sapiens GN=CPSF7 PE=1 SV=1	sp|Q8N684|CPSF7_HUMAN	52 kDa	7	5	skmes_adpr.msbio	Q8N684	79869	-2	-0.285714285714286	52	7.01923076923077	5.01923076923077	0.715068493150685	0.714693295292439	CPSF7
CPT2	Carnitine O-palmitoyltransferase 2, mitochondrial OS=Homo sapiens GN=CPT2 PE=1 SV=2	sp|P23786|CPT2_HUMAN	74 kDa	6	13	skmes_adpr.msbio	P23786	1376	7	0.538461538461538	74	6.01351351351351	13.0135135135135	2.16404494382022	2.16472545757072	CPT2
CREBBP	CREB-binding protein OS=Homo sapiens GN=CREBBP PE=1 SV=3	sp|Q92793|CBP_HUMAN	265 kDa	6	0	skmes_adpr.msbio	Q92793	1387	-6	-1	265	6.00377358490566	0.00377358490566038	0.000628535512256443	0.00166389351081531	CREBBP
CRIPT	Cysteine-rich PDZ-binding protein OS=Homo sapiens GN=CRIPT PE=1 SV=1	sp|Q9P021|CRIPT_HUMAN	11 kDa	5	4	skmes_adpr.msbio	Q9P021	9419	-1	-0.2	11	5.09090909090909	4.09090909090909	0.803571428571429	0.800399201596806	CRIPT
CTAG2	Cancer/testis antigen 2 OS=Homo sapiens GN=CTAG2 PE=1 SV=2	sp|O75638|CTAG2_HUMAN	21 kDa	2	0	skmes_adpr.msbio	O75638	30848	-2	-1	21	2.04761904761905	0.0476190476190476	0.0232558139534884	0.00497512437810945	CTAG2
CTHRC1	Collagen triple helix repeat-containing protein 1 OS=Homo sapiens GN=CTHRC1 PE=1 SV=1	sp|Q96CG8|CTHR1_HUMAN	26 kDa	0	4	skmes_adpr.msbio	Q96CG8	115908	4	1	26	0.0384615384615385	4.03846153846154	105	401	CTHRC1
CTNND1	Catenin delta-1 OS=Homo sapiens GN=CTNND1 PE=1 SV=1	sp|O60716|CTND1_HUMAN	108 kDa	3	0	skmes_adpr.msbio	O60716	1500	-3	-1	108	3.00925925925926	0.00925925925925926	0.00307692307692308	0.00332225913621263	CTNND1
CTSD	Cathepsin D OS=Homo sapiens GN=CTSD PE=1 SV=1	sp|P07339|CATD_HUMAN	45 kDa	0	3	skmes_adpr.msbio	P07339	1509	3	1	45	0.0222222222222222	3.02222222222222	136	301	CTSD
CTTN	Src substrate cortactin OS=Homo sapiens GN=CTTN PE=1 SV=2	sp|Q14247|SRC8_HUMAN	62 kDa	17	10	skmes_adpr.msbio	Q14247	2017	-7	-0.411764705882353	62	17.0161290322581	10.0161290322581	0.588625592417062	0.588477366255144	CTTN
CTTNBP2NL	CTTNBP2 N-terminal-like protein OS=Homo sapiens GN=CTTNBP2NL PE=1 SV=2	sp|Q9P2B4|CT2NL_HUMAN	70 kDa	0	2	skmes_adpr.msbio	Q9P2B4	55917	2	1	70	0.0142857142857143	2.01428571428571	141	201	CTTNBP2NL
CXorf56	UPF0428 protein CXorf56 OS=Homo sapiens GN=CXorf56 PE=1 SV=1	sp|Q9H5V9|CX056_HUMAN	26 kDa	4	0	skmes_adpr.msbio	Q9H5V9	63932	-4	-1	26	4.03846153846154	0.0384615384615385	0.00952380952380952	0.00249376558603491	NA
CXXC1	CXXC-type zinc finger protein 1 OS=Homo sapiens GN=CXXC1 PE=1 SV=2	sp|Q9P0U4|CXXC1_HUMAN	76 kDa	0	5	skmes_adpr.msbio	Q9P0U4	30827	5	1	76	0.0131578947368421	5.01315789473684	381	501	CXXC1
CYB5B	Cytochrome b5 type B OS=Homo sapiens GN=CYB5B PE=1 SV=2	sp|O43169|CYB5B_HUMAN	16 kDa	6	4	skmes_adpr.msbio	O43169	80777	-2	-0.333333333333333	16	6.0625	4.0625	0.670103092783505	0.667221297836938	CYB5B
CYB5R3	NADH-cytochrome b5 reductase 3 OS=Homo sapiens GN=CYB5R3 PE=1 SV=3	sp|P00387|NB5R3_HUMAN	34 kDa	2	6	skmes_adpr.msbio	P00387	1727	4	0.666666666666667	34	2.02941176470588	6.02941176470588	2.97101449275362	2.99004975124378	CYB5R3
CYCS	Cytochrome c OS=Homo sapiens GN=CYCS PE=1 SV=2	sp|P99999|CYC_HUMAN	12 kDa	11	5	skmes_adpr.msbio	P99999	54205	-6	-0.545454545454545	12	11.0833333333333	5.08333333333333	0.458646616541353	0.455040871934605	CYCS
CYR61	Protein CYR61 OS=Homo sapiens GN=CYR61 PE=1 SV=1	sp|O00622|CYR61_HUMAN	42 kDa	6	0	skmes_adpr.msbio	O00622	3491	-6	-1	42	6.02380952380952	0.0238095238095238	0.00395256916996047	0.00166389351081531	CCN1
DAPK3	Death-associated protein kinase 3 OS=Homo sapiens GN=DAPK3 PE=1 SV=1	sp|O43293|DAPK3_HUMAN	53 kDa	5	4	skmes_adpr.msbio	O43293	1613	-1	-0.2	53	5.0188679245283	4.0188679245283	0.800751879699248	0.800399201596806	DAPK3
DCAF11	DDB1- and CUL4-associated factor 11 OS=Homo sapiens GN=DCAF11 PE=1 SV=1	sp|Q8TEB1|DCA11_HUMAN	62 kDa	2	2	skmes_adpr.msbio	Q8TEB1	80344	0	0	62	2.01612903225806	2.01612903225806	1	1	DCAF11
DCAF13	DDB1- and CUL4-associated factor 13 OS=Homo sapiens GN=DCAF13 PE=1 SV=2	sp|Q9NV06|DCA13_HUMAN	51 kDa	2	0	skmes_adpr.msbio	Q9NV06	25879	-2	-1	51	2.01960784313725	0.0196078431372549	0.00970873786407767	0.00497512437810945	DCAF13
DCD	Dermcidin OS=Homo sapiens GN=DCD PE=1 SV=2	sp|P81605|DCD_HUMAN	11 kDa	2	14	skmes_adpr.msbio	P81605	117159	12	0.857142857142857	11	2.09090909090909	14.0909090909091	6.73913043478261	6.97014925373134	DCD
DDB1	DNA damage-binding protein 1 OS=Homo sapiens GN=DDB1 PE=1 SV=1	sp|Q16531|DDB1_HUMAN	127 kDa	12	13	skmes_adpr.msbio	Q16531	1642	1	0.0769230769230769	127	12.007874015748	13.007874015748	1.08327868852459	1.08326394671107	DDB1
DDX18	ATP-dependent RNA helicase DDX18 OS=Homo sapiens GN=DDX18 PE=1 SV=2	sp|Q9NVP1|DDX18_HUMAN	75 kDa	2	0	skmes_adpr.msbio	Q9NVP1	8886	-2	-1	75	2.01333333333333	0.0133333333333333	0.00662251655629139	0.00497512437810945	DDX18
DDX3X	ATP-dependent RNA helicase DDX3X OS=Homo sapiens GN=DDX3X PE=1 SV=3	sp|O00571|DDX3X_HUMAN	73 kDa	4	3	skmes_adpr.msbio	O00571	1654	-1	-0.25	73	4.01369863013699	3.01369863013699	0.750853242320819	0.750623441396509	DDX3X
DDX41	Probable ATP-dependent RNA helicase DDX41 OS=Homo sapiens GN=DDX41 PE=1 SV=2	sp|Q9UJV9|DDX41_HUMAN	70 kDa	149	105	skmes_adpr.msbio	Q9UJV9	51428	-44	-0.295302013422819	70	149.014285714286	105.014285714286	0.704726296615857	0.704717804174217	DDX41
DDX42	ATP-dependent RNA helicase DDX42 OS=Homo sapiens GN=DDX42 PE=1 SV=1	sp|Q86XP3|DDX42_HUMAN	103 kDa	23	13	skmes_adpr.msbio	Q86XP3	11325	-10	-0.434782608695652	103	23.0097087378641	13.0097087378641	0.565400843881857	0.565406345067362	DDX42
DDX47	Probable ATP-dependent RNA helicase DDX47 OS=Homo sapiens GN=DDX47 PE=1 SV=1	sp|Q9H0S4|DDX47_HUMAN	51 kDa	8	13	skmes_adpr.msbio	Q9H0S4	51202	5	0.384615384615385	51	8.01960784313725	13.0196078431373	1.62347188264059	1.62421972534332	DDX47
DDX49	Probable ATP-dependent RNA helicase DDX49 OS=Homo sapiens GN=DDX49 PE=1 SV=1	sp|Q9Y6V7|DDX49_HUMAN	54 kDa	6	6	skmes_adpr.msbio	Q9Y6V7	54555	0	0	54	6.01851851851852	6.01851851851852	1	1	DDX49
DDX5	Probable ATP-dependent RNA helicase DDX5 OS=Homo sapiens GN=DDX5 PE=1 SV=1	sp|P17844|DDX5_HUMAN	69 kDa	10	0	skmes_adpr.msbio	P17844	1655	-10	-1	69	10.0144927536232	0.0144927536231884	0.00144717800289436	0.000999000999000999	DDX5
DDX52	Probable ATP-dependent RNA helicase DDX52 OS=Homo sapiens GN=DDX52 PE=1 SV=3	sp|Q9Y2R4|DDX52_HUMAN	68 kDa	3	2	skmes_adpr.msbio	Q9Y2R4	11056	-1	-0.333333333333333	68	3.01470588235294	2.01470588235294	0.668292682926829	0.667774086378737	DDX52
DDX56	Probable ATP-dependent RNA helicase DDX56 OS=Homo sapiens GN=DDX56 PE=1 SV=1	sp|Q9NY93|DDX56_HUMAN	62 kDa	17	17	skmes_adpr.msbio	Q9NY93	54606	0	0	62	17.0161290322581	17.0161290322581	1	1	DDX56
DDX6	Probable ATP-dependent RNA helicase DDX6 OS=Homo sapiens GN=DDX6 PE=1 SV=2	sp|P26196|DDX6_HUMAN	54 kDa	8	8	skmes_adpr.msbio	P26196	1656	0	0	54	8.01851851851852	8.01851851851852	1	1	DDX6
DEK	Protein DEK OS=Homo sapiens GN=DEK PE=1 SV=1	sp|P35659|DEK_HUMAN	43 kDa	3	6	skmes_adpr.msbio	P35659	7913	3	0.5	43	3.02325581395349	6.02325581395349	1.99230769230769	1.99667774086379	DEK
DHRS7	Dehydrogenase/reductase SDR family member 7 OS=Homo sapiens GN=DHRS7 PE=1 SV=1	sp|Q9Y394|DHRS7_HUMAN	38 kDa	0	4	skmes_adpr.msbio	Q9Y394	51635	4	1	38	0.0263157894736842	4.02631578947368	153	401	DHRS7
DHX15	Pre-mRNA-splicing factor ATP-dependent RNA helicase DHX15 OS=Homo sapiens GN=DHX15 PE=1 SV=2	sp|O43143|DHX15_HUMAN	91 kDa	30	27	skmes_adpr.msbio	O43143	1665	-3	-0.1	91	30.010989010989	27.010989010989	0.900036616623947	0.900033322225925	DHX15
DHX16	Putative pre-mRNA-splicing factor ATP-dependent RNA helicase DHX16 OS=Homo sapiens GN=DHX16 PE=1 SV=2	sp|O60231|DHX16_HUMAN	119 kDa	61	51	skmes_adpr.msbio	O60231	8449	-10	-0.163934426229508	119	61.0084033613445	51.0084033613445	0.836088154269973	0.836092443861662	DHX16
DHX35	Probable ATP-dependent RNA helicase DHX35 OS=Homo sapiens GN=DHX35 PE=1 SV=2	sp|Q9H5Z1|DHX35_HUMAN	79 kDa	36	37	skmes_adpr.msbio	Q9H5Z1	60625	1	0.027027027027027	79	36.0126582278481	37.0126582278481	1.02776801405975	1.02777006387115	DHX35
DHX37	Probable ATP-dependent RNA helicase DHX37 OS=Homo sapiens GN=DHX37 PE=1 SV=1	sp|Q8IY37|DHX37_HUMAN	130 kDa	9	8	skmes_adpr.msbio	Q8IY37	57647	-1	-0.111111111111111	130	9.00769230769231	8.00769230769231	0.888983774551665	0.889012208657048	DHX37
DHX40	Probable ATP-dependent RNA helicase DHX40 OS=Homo sapiens GN=DHX40 PE=1 SV=2	sp|Q8IX18|DHX40_HUMAN	89 kDa	4	3	skmes_adpr.msbio	Q8IX18	79665	-1	-0.25	89	4.01123595505618	3.01123595505618	0.750700280112045	0.750623441396509	DHX40
DHX8	ATP-dependent RNA helicase DHX8 OS=Homo sapiens GN=DHX8 PE=1 SV=1	sp|Q14562|DHX8_HUMAN	139 kDa	8	0	skmes_adpr.msbio	Q14562	1659	-8	-1	139	8.00719424460432	0.00719424460431655	0.000898472596585804	0.00124843945068664	DHX8
DIAPH1	Protein diaphanous homolog 1 OS=Homo sapiens GN=DIAPH1 PE=1 SV=2	sp|O60610|DIAP1_HUMAN	141 kDa	2	6	skmes_adpr.msbio	O60610	1729	4	0.666666666666667	141	2.00709219858156	6.00709219858156	2.99293286219081	2.99004975124378	DIAPH1
DIAPH3	Protein diaphanous homolog 3 OS=Homo sapiens GN=DIAPH3 PE=1 SV=4	sp|Q9NSV4|DIAP3_HUMAN	137 kDa	4	2	skmes_adpr.msbio	Q9NSV4	81624	-2	-0.5	137	4.00729927007299	2.00729927007299	0.500910746812386	0.501246882793017	DIAPH3
DKC1	H/ACA ribonucleoprotein complex subunit 4 OS=Homo sapiens GN=DKC1 PE=1 SV=3	sp|O60832|DKC1_HUMAN	58 kDa	13	7	skmes_adpr.msbio	O60832	1736	-6	-0.461538461538462	58	13.0172413793103	7.01724137931035	0.539072847682119	0.538816295157571	DKC1
DLC1	Rho GTPase-activating protein 7 OS=Homo sapiens GN=DLC1 PE=1 SV=4	sp|Q96QB1|RHG07_HUMAN	171 kDa	0	5	skmes_adpr.msbio	Q96QB1	10395	5	1	171	0.00584795321637427	5.00584795321637	856	501	DLC1
DLG5	Disks large homolog 5 OS=Homo sapiens GN=DLG5 PE=1 SV=4	sp|Q8TDM6|DLG5_HUMAN	214 kDa	3	10	skmes_adpr.msbio	Q8TDM6	9231	7	0.7	214	3.00467289719626	10.0046728971963	3.32970451010886	3.32558139534884	DLG5
DMAC2	Distal membrane-arm assembly complex protein 2 OS=Homo sapiens GN=DMAC2 PE=1 SV=3	sp|Q9NW81|DMAC2_HUMAN	29 kDa	4	0	skmes_adpr.msbio	Q9NW81	55101	-4	-1	29	4.03448275862069	0.0344827586206897	0.00854700854700855	0.00249376558603491	DMAC2
DNAJA1	DnaJ homolog subfamily A member 1 OS=Homo sapiens GN=DNAJA1 PE=1 SV=2	sp|P31689|DNJA1_HUMAN	45 kDa	46	46	skmes_adpr.msbio	P31689	3301	0	0	45	46.0222222222222	46.0222222222222	1	1	DNAJA1
DNAJA2	DnaJ homolog subfamily A member 2 OS=Homo sapiens GN=DNAJA2 PE=1 SV=1	sp|O60884|DNJA2_HUMAN	46 kDa	16	26	skmes_adpr.msbio	O60884	10294	10	0.384615384615385	46	16.0217391304348	26.0217391304348	1.62415196743555	1.62460961898813	DNAJA2
DNAJA3	DnaJ homolog subfamily A member 3, mitochondrial OS=Homo sapiens GN=DNAJA3 PE=1 SV=2	sp|Q96EY1|DNJA3_HUMAN	52 kDa	5	7	skmes_adpr.msbio	Q96EY1	9093	2	0.285714285714286	52	5.01923076923077	7.01923076923077	1.39846743295019	1.39920159680639	DNAJA3
DNAJA4	DnaJ homolog subfamily A member 4 OS=Homo sapiens GN=DNAJA4 PE=1 SV=1	sp|Q8WW22|DNJA4_HUMAN	45 kDa	2	0	skmes_adpr.msbio	Q8WW22	55466	-2	-1	45	2.02222222222222	0.0222222222222222	0.010989010989011	0.00497512437810945	DNAJA4
DNAJB1	DnaJ homolog subfamily B member 1 OS=Homo sapiens GN=DNAJB1 PE=1 SV=4	sp|P25685|DNJB1_HUMAN	38 kDa	8	8	skmes_adpr.msbio	P25685	3337	0	0	38	8.02631578947368	8.02631578947368	1	1	DNAJB1
DNAJB6	DnaJ homolog subfamily B member 6 OS=Homo sapiens GN=DNAJB6 PE=1 SV=2	sp|O75190|DNJB6_HUMAN	36 kDa	21	20	skmes_adpr.msbio	O75190	10049	-1	-0.0476190476190476	36	21.0277777777778	20.0277777777778	0.952443857331572	0.952403617325083	DNAJB6
DNAJB9	DnaJ homolog subfamily B member 9 OS=Homo sapiens GN=DNAJB9 PE=1 SV=1	sp|Q9UBS3|DNJB9_HUMAN	26 kDa	2	4	skmes_adpr.msbio	Q9UBS3	4189	2	0.5	26	2.03846153846154	4.03846153846154	1.9811320754717	1.99502487562189	DNAJB9
DNAJC10	DnaJ homolog subfamily C member 10 OS=Homo sapiens GN=DNAJC10 PE=1 SV=2	sp|Q8IXB1|DJC10_HUMAN	91 kDa	3	4	skmes_adpr.msbio	Q8IXB1	54431	1	0.25	91	3.01098901098901	4.01098901098901	1.33211678832117	1.33222591362126	DNAJC10
DNAJC17	DnaJ homolog subfamily C member 17 OS=Homo sapiens GN=DNAJC17 PE=1 SV=1	sp|Q9NVM6|DJC17_HUMAN	35 kDa	3	4	skmes_adpr.msbio	Q9NVM6	55192	1	0.25	35	3.02857142857143	4.02857142857143	1.33018867924528	1.33222591362126	DNAJC17
DNAJC19	Mitochondrial import inner membrane translocase subunit TIM14 OS=Homo sapiens GN=DNAJC19 PE=1 SV=3	sp|Q96DA6|TIM14_HUMAN	12 kDa	2	0	skmes_adpr.msbio	Q96DA6	131118	-2	-1	12	2.08333333333333	0.0833333333333333	0.04	0.00497512437810945	DNAJC19
DNAJC7	DnaJ homolog subfamily C member 7 OS=Homo sapiens GN=DNAJC7 PE=1 SV=2	sp|Q99615|DNJC7_HUMAN	56 kDa	16	8	skmes_adpr.msbio	Q99615	7266	-8	-0.5	56	16.0178571428571	8.01785714285714	0.500557413600892	0.500312304809494	DNAJC7
DNAJC8	DnaJ homolog subfamily C member 8 OS=Homo sapiens GN=DNAJC8 PE=1 SV=2	sp|O75937|DNJC8_HUMAN	30 kDa	39	30	skmes_adpr.msbio	O75937	22826	-9	-0.230769230769231	30	39.0333333333333	30.0333333333333	0.769427839453459	0.769289925660087	DNAJC8
DNAJC9	DnaJ homolog subfamily C member 9 OS=Homo sapiens GN=DNAJC9 PE=1 SV=1	sp|Q8WXX5|DNJC9_HUMAN	30 kDa	6	7	skmes_adpr.msbio	Q8WXX5	23234	1	0.142857142857143	30	6.03333333333333	7.03333333333333	1.16574585635359	1.16638935108153	DNAJC9
DNM2	Dynamin-2 OS=Homo sapiens GN=DNM2 PE=1 SV=2	sp|P50570|DYN2_HUMAN	98 kDa	0	2	skmes_adpr.msbio	P50570	1785	2	1	98	0.0102040816326531	2.01020408163265	197	201	DNM2
DNMBP	Dynamin-binding protein OS=Homo sapiens GN=DNMBP PE=1 SV=1	sp|Q6XZF7|DNMBP_HUMAN	177 kDa	2	0	skmes_adpr.msbio	Q6XZF7	23268	-2	-1	177	2.00564971751412	0.00564971751412429	0.0028169014084507	0.00497512437810945	DNMBP
DNTTIP2	Deoxynucleotidyltransferase terminal-interacting protein 2 OS=Homo sapiens GN=DNTTIP2 PE=1 SV=2	sp|Q5QJE6|TDIF2_HUMAN	84 kDa	22	8	skmes_adpr.msbio	Q5QJE6	30836	-14	-0.636363636363636	84	22.0119047619048	8.01190476190476	0.363980530016225	0.363925488414357	DNTTIP2
DOCK10	Dedicator of cytokinesis protein 10 OS=Homo sapiens GN=DOCK10 PE=1 SV=3	sp|Q96BY6|DOC10_HUMAN	250 kDa	7	2	skmes_adpr.msbio	Q96BY6	55619	-5	-0.714285714285714	250	7.004	2.004	0.286122215876642	0.286733238231098	DOCK10
DOCK7	Dedicator of cytokinesis protein 7 OS=Homo sapiens GN=DOCK7 PE=1 SV=4	sp|Q96N67|DOCK7_HUMAN	243 kDa	21	8	skmes_adpr.msbio	Q96N67	85440	-13	-0.619047619047619	243	21.0041152263374	8.00411522633745	0.381073667711599	0.381247025226083	DOCK7
DPM1	Dolichol-phosphate mannosyltransferase subunit 1 OS=Homo sapiens GN=DPM1 PE=1 SV=1	sp|O60762|DPM1_HUMAN	30 kDa	0	4	skmes_adpr.msbio	O60762	8813	4	1	30	0.0333333333333333	4.03333333333333	121	401	DPM1
DPYSL2	Dihydropyrimidinase-related protein 2 OS=Homo sapiens GN=DPYSL2 PE=1 SV=1	sp|Q16555|DPYL2_HUMAN	62 kDa	0	2	skmes_adpr.msbio	Q16555	1808	2	1	62	0.0161290322580645	2.01612903225806	125	201	DPYSL2
DRAP1	Dr1-associated corepressor OS=Homo sapiens GN=DRAP1 PE=1 SV=3	sp|Q14919|NC2A_HUMAN	22 kDa	0	4	skmes_adpr.msbio	Q14919	10589	4	1	22	0.0454545454545455	4.04545454545455	89	401	DRAP1
DRG1	Developmentally-regulated GTP-binding protein 1 OS=Homo sapiens GN=DRG1 PE=1 SV=1	sp|Q9Y295|DRG1_HUMAN	41 kDa	19	16	skmes_adpr.msbio	Q9Y295	4733	-3	-0.157894736842105	41	19.0243902439024	16.0243902439024	0.842307692307692	0.842188321935823	DRG1
DSC1	Desmocollin-1 OS=Homo sapiens GN=DSC1 PE=1 SV=2	sp|Q08554|DSC1_HUMAN	100 kDa	7	11	skmes_adpr.msbio	Q08554	1823	4	0.363636363636364	100	7.01	11.01	1.57061340941512	1.57061340941512	DSC1
DSG1	Desmoglein-1 OS=Homo sapiens GN=DSG1 PE=1 SV=2	sp|Q02413|DSG1_HUMAN	114 kDa	15	23	skmes_adpr.msbio	Q02413	1828	8	0.347826086956522	114	15.0087719298246	23.0087719298246	1.53302162478083	1.5329780146569	DSG1
DST	Dystonin OS=Homo sapiens GN=DST PE=1 SV=4	sp|Q03001|DYST_HUMAN	861 kDa	13	9	skmes_adpr.msbio	Q03001	667	-4	-0.307692307692308	861	13.0011614401858	9.00116144018583	0.692335179560479	0.692544196771714	DST
DTD1	D-aminoacyl-tRNA deacylase 1 OS=Homo sapiens GN=DTD1 PE=1 SV=2	sp|Q8TEA8|DTD1_HUMAN	23 kDa	5	4	skmes_adpr.msbio	Q8TEA8	92675	-1	-0.2	23	5.04347826086957	4.04347826086957	0.801724137931034	0.800399201596806	DTD1
DTL	Denticleless protein homolog OS=Homo sapiens GN=DTL PE=1 SV=3	sp|Q9NZJ0|DTL_HUMAN	79 kDa	0	2	skmes_adpr.msbio	Q9NZJ0	51514	2	1	79	0.0126582278481013	2.0126582278481	159	201	DTL
DTX3L	E3 ubiquitin-protein ligase DTX3L OS=Homo sapiens GN=DTX3L PE=1 SV=1	sp|Q8TDB6|DTX3L_HUMAN	84 kDa	5	3	skmes_adpr.msbio	Q8TDB6	151636	-2	-0.4	84	5.01190476190476	3.01190476190476	0.600950118764846	0.600798403193613	DTX3L
DUSP11	RNA/RNP complex-1-interacting phosphatase OS=Homo sapiens GN=DUSP11 PE=1 SV=1	sp|O75319|DUS11_HUMAN	39 kDa	3	4	skmes_adpr.msbio	O75319	8446	1	0.25	39	3.02564102564103	4.02564102564103	1.33050847457627	1.33222591362126	DUSP11
DYNC1H1	Cytoplasmic dynein 1 heavy chain 1 OS=Homo sapiens GN=DYNC1H1 PE=1 SV=5	sp|Q14204|DYHC1_HUMAN	532 kDa	70	28	skmes_adpr.msbio	Q14204	1778	-42	-0.6	532	70.0018796992481	28.0018796992481	0.400016111275207	0.400085702042565	DYNC1H1
DYNC1LI2	Cytoplasmic dynein 1 light intermediate chain 2 OS=Homo sapiens GN=DYNC1LI2 PE=1 SV=1	sp|O43237|DC1L2_HUMAN	54 kDa	3	0	skmes_adpr.msbio	O43237	1783	-3	-1	54	3.01851851851852	0.0185185185185185	0.00613496932515337	0.00332225913621263	DYNC1LI2
DYNLL2	Dynein light chain 2, cytoplasmic OS=Homo sapiens GN=DYNLL2 PE=1 SV=1	sp|Q96FJ2|DYL2_HUMAN	10 kDa	3	3	skmes_adpr.msbio	Q96FJ2	140735	0	0	10	3.1	3.1	1	1	DYNLL2
